Model,Accuracy,F1 Score,Mobile
TextBlob,0.7616892911010558,0.8240754001750495,iPhone 15
VADER,0.7460030165912519,0.817855343645862,iPhone 15
BERT,0.869079939668175,0.8776466974107703,iPhone 15
TextBlob,0.8358831710709318,0.8739164592064862,iPhone 16
VADER,0.8261474269819193,0.8685614166493462,iPhone 16
BERT,0.847009735744089,0.8707345890405924,iPhone 16
TextBlob,0.8947368421052632,0.8836437246963562,iQOO Z10
VADER,0.6666666666666666,0.7255142165759226,iQOO Z10
BERT,0.7017543859649122,0.7473739423302553,iQOO Z10
