date_scraped,brand,product_name,price,original_price,discount_percent,rating,total_reviews,total_ratings,ram,storage,battery,camera_primary,processor,screen_size,5g_support,availability,delivery_days,offers_count,trending_tag,product_url
2026-01-11,Apple,"Apple iPhone 15 (Black, 128 GB)",59900.0,59900.0,0.0,4.6,0,270746,6 GB,128 GB,3877 mAh,48 MP + 12 MP + 24 MP,A16 Bionic,6.1 inch,Yes,Unknown,,0,Yes,https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4
2026-01-11,Samsung,"Samsung Galaxy S24 Exynos 5G (Cobalt Violet, 256 GB) (8 GB RAM)",55999.0,55999.0,0.0,4.6,0,8481,8 GB,256 GB,4000 mAh,50 MP + 10 MP + 12 MP,Exynos 5,6.2 inch,Yes,Unknown,,0,Yes,https://www.flipkart.com/samsung-galaxy-s24-exynos-5g-cobalt-violet-256-gb/p/itm93794d8fd6381
2026-01-11,OnePlus,"OnePlus 12 (Silky Black, 256 GB) (12 GB RAM)",50399.0,50399.0,0.0,4.6,0,1445,12 GB,256 GB,5400 mAh,64 MP,Snapdragon 8 Gen 3,6.82 inch,Yes,Unknown,,0,Yes,https://www.flipkart.com/oneplus-12-silky-black-256-gb/p/itm4464454f95a2e
